Date,AAPL,MSFT,GOOGL,AMZN
2022-01-03,178.87989807128906,325.634765625,144.3015899658203,170.4044952392578
2022-01-04,176.60964965820312,320.05108642578125,143.71243286132812,167.52200317382812
2022-01-05,171.91183471679688,307.7649841308594,137.1194305419922,164.35699462890625
2022-01-06,169.04205322265625,305.3330993652344,137.09205627441406,163.25399780273438
2022-01-07,169.20912170410156,305.4887390136719,136.3650360107422,162.5540008544922
2022-01-10,169.2288360595703,305.71246337890625,138.00967407226562,161.48599243164062
2022-01-11,172.069091796875,306.4031677246094,139.07110595703125,165.36199951171875
2022-01-12,172.51138305664062,309.603515625,140.75753784179688,165.20700073242188
2022-01-13,169.2288360595703,296.5002746582031,137.92758178710938,161.21400451660156
2022-01-14,170.09368896484375,301.7532653808594,138.8168182373047,162.13800048828125
2022-01-18,166.87989807128906,294.4088134765625,135.3508758544922,158.91749572753906
2022-01-19,163.3712921142578,295.0703430175781,134.4735870361328,156.2989959716797
2022-01-20,161.6808624267578,293.38751220703125,132.67318725585938,151.66749572753906
2022-01-21,159.61700439453125,287.96917724609375,129.73126220703125,142.64300537109375
2022-01-24,158.840576171875,288.2998046875,130.18161010742188,144.54400634765625
2022-01-25,157.03221130371094,280.63446044921875,126.33102416992188,139.98599243164062
2022-01-26,156.9437713623047,288.6306457519531,128.6180877685547,138.87249755859375
2022-01-27,156.48184204101562,291.67535400390625,128.39117431640625,139.6374969482422
2022-01-28,167.40077209472656,299.8661193847656,132.7165069580078,143.97799682617188
2022-01-31,171.7742462158203,302.5120544433594,134.65968322753906,149.57350158691406
2022-02-01,171.607177734375,300.3525085449219,136.9890594482422,151.19349670410156
2022-02-02,172.81600952148438,304.9244689941406,147.29579162597656,150.6125030517578
2022-02-03,169.92657470703125,293.0469665527344,142.40914916992188,138.8455047607422
2022-02-04,169.64122009277344,297.6092529296875,142.61117553710938,157.63949584960938
2022-02-07,168.92286682128906,292.7551574707031,138.53866577148438,157.9355010986328
2022-02-08,172.04229736328125,296.2668762207031,138.7357177734375,161.4134979248047
2022-02-09,173.46917724609375,302.73577880859375,140.91827392578125,161.1894989013672
2022-02-10,169.37551879882812,294.1462097167969,137.96041870117188,159.0034942626953
2022-02-11,165.9510040283203,287.0060729980469,133.6435546875,153.2935028076172
2022-02-14,166.1872100830078,286.9671630859375,134.8811492919922,155.16700744628906
2022-02-15,170.0348358154297,292.2882080078125,135.95851135253906,156.510498046875
2022-02-16,169.79869079589844,291.9470520019531,137.08262634277344,158.10049438476562
2022-02-17,166.1872100830078,283.3982238769531,131.90835571289062,154.65249633789062
2022-02-18,164.63238525390625,280.6688537597656,129.7825164794922,152.60150146484375
2022-02-22,161.6999053955078,280.4640808105469,129.19581604003906,150.19749450683594
2022-02-23,157.51766967773438,273.2020568847656,126.98091125488281,144.82699584960938
2022-02-24,160.1450958251953,287.16082763671875,132.05963134765625,151.35800170898438
2022-02-25,162.2214813232422,289.8122863769531,133.81973266601562,153.7884979248047
2022-02-28,162.48712158203125,291.2550354003906,134.4143829345703,153.56300354003906
2022-03-01,160.59774780273438,287.5118103027344,133.42359924316406,151.14199829101562
2022-03-02,163.90419006347656,292.61962890625,133.93118286132812,152.05250549316406
2022-03-03,163.57943725585938,288.45733642578125,133.2623748779297,147.89849853515625
2022-03-04,160.56822204589844,282.5501708984375,131.2788543701172,145.64100646972656
2022-03-07,156.75994873046875,271.87628173828125,125.77716064453125,137.4530029296875
2022-03-08,154.92958068847656,268.8934631347656,126.49971008300781,136.01449584960938
2022-03-09,160.3517303466797,281.2243957519531,132.78515625,139.2790069580078
2022-03-10,155.9923858642578,278.38787841796875,131.7993621826172,146.8175048828125
2022-03-11,152.26280212402344,273.0070495605469,129.25254821777344,145.52450561523438
2022-03-14,148.21836853027344,269.4686584472656,125.35169982910156,141.85299682617188
2022-03-15,152.61705017089844,279.9084777832031,128.583251953125,147.3665008544922
2022-03-16,157.04530334472656,286.9659423828125,132.64633178710938,153.10400390625
2022-03-17,158.05889892578125,287.7750244140625,133.20216369628906,157.23899841308594
2022-03-18,161.36532592773438,292.8536071777344,135.477783203125,161.25050354003906
2022-03-21,162.7429962158203,291.6156311035156,135.45391845703125,161.4915008544922
2022-03-22,166.1281280517578,296.39202880859375,139.20248413085938,164.88900756835938
2022-03-23,167.4959716796875,291.93731689453125,137.61753845214844,163.4080047607422
2022-03-24,171.29443359375,296.4310302734375,140.89837646484375,163.64950561523438
2022-03-25,171.93405151367188,296.0216369628906,140.9989013671875,164.77349853515625
2022-03-28,172.800048828125,302.8645935058594,140.78244018554688,168.99049377441406
2022-03-29,176.1064910888672,307.45587158203125,141.82740783691406,169.31500244140625
2022-03-30,174.93544006347656,305.94482421875,141.2631378173828,166.30099487304688
2022-03-31,171.82582092285156,300.534912109375,138.4058074951172,162.99749755859375
2022-04-01,171.53057861328125,301.6169128417969,139.483642578125,163.55999755859375
2022-04-04,175.59474182128906,307.0268859863281,142.29119873046875,168.34649658203125
2022-04-05,172.26864624023438,303.04010009765625,139.92205810546875,164.05499267578125
2022-04-06,169.0901336669922,291.9470520019531,135.89828491210938,158.75599670410156
2022-04-07,169.3951873779297,293.7699279785156,135.24192810058594,157.7845001220703
2022-04-08,167.3778839111328,289.4809265136719,132.65328979492188,154.4604949951172
2022-04-11,163.1071014404297,278.0661926269531,128.2105255126953,151.1219940185547
2022-04-12,164.9866485595703,274.9468688964844,127.1068115234375,150.78750610351562
2022-04-13,167.68292236328125,280.36663818359375,129.2759246826172,155.54100036621094
