Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AMZN,NVDA,SPY,TSLA,AMZN,NVDA,SPY,TSLA,AMZN,NVDA,SPY,TSLA,AMZN,NVDA,SPY,TSLA,AMZN,NVDA,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,
2023-03-06,93.75,23.536880493164062,393.3687438964844,193.80999755859375,96.55000305175781,24.230374393263517,396.26696422172915,198.60000610351562,93.73999786376953,23.469927850702934,392.92137756439274,192.3000030517578,95.19000244140625,23.87363543603711,393.9328119082538,198.5399932861328,52112400,437429000,72795900,128100100
2023-03-07,93.55000305175781,23.275026321411133,387.33892822265625,187.7100067138672,95.08999633789062,24.111559920502025,393.563295273965,194.1999969482422,92.77999877929688,23.228051620676226,386.7165093255144,186.10000610351562,94.05999755859375,23.586852780173178,393.3201568635227,191.3800048828125,49100700,515154000,108310600,148125800
2023-03-08,93.91999816894531,24.167530059814453,387.9710998535156,182.0,94.16999816894531,24.18652048264274,388.73939583720204,186.5,92.18000030517578,23.41095176683829,385.70503331737797,180.0,93.5999984741211,23.47391639904251,387.455647626494,185.0399932861328,44899100,513573000,74746600,151897800
2023-03-09,92.25,23.42294692993164,380.8131103515625,172.9199981689453,96.20999908447266,24.440379551368668,390.46085575890453,185.17999267578125,92.18000030517578,23.369975047999013,379.81138126470995,172.50999450683594,93.68000030517578,24.161533719590235,388.76859220093377,180.25,56218700,501257000,111945300,170023800
2023-03-10,90.7300033569336,22.952207565307617,375.3182067871094,173.44000244140625,93.56999969482422,23.613839455874178,382.3692212033851,178.2899932861328,90.25,22.713340379314104,373.7718499456897,168.44000244140625,92.66999816894531,23.39596048038933,380.2587665878724,175.1300048828125,69827500,474866000,189253000,191488900
2023-03-13,92.43000030517578,22.95320701599121,374.7832946777344,174.47999572753906,94.0199966430664,23.285022816408382,379.67526847851315,177.35000610351562,88.12000274658203,22.284580945323395,370.202574876669,163.91000366210938,89.97000122070312,22.73932742366077,371.3307407756971,167.4600067138672,72397100,421890000,157790000,167790300
2023-03-14,94.87999725341797,24.049592971801758,380.97845458984375,183.25999450683594,95.06999969482422,24.205506193309173,382.65124806641757,183.8000030517578,92.70999908447266,23.44692829407391,376.426880920108,177.13999938964844,93.83000183105469,23.482909441366974,379.78220290741604,177.30999755859375,60912700,474910000,149752400,143717900
2023-03-15,96.19999694824219,24.214502334594727,378.5956726074219,180.4499969482422,96.66999816894531,24.272468678645705,378.7999005575514,182.33999633789062,93.06999969482422,23.346985898676298,373.1785418122267,176.02999877929688,93.22000122070312,23.747761556625974,375.29873126397814,180.8000030517578,70731800,524486000,172996900,145995600
2023-03-16,100.04000091552734,25.526771545410156,385.2381896972656,184.1300048828125,100.98999786376953,25.57374434007057,385.5883244245357,185.80999755859375,95.61000061035156,23.880687818789845,375.687735965326,178.83999633789062,95.75,24.013615051632073,376.20318818271176,180.3699951171875,84446900,583253000,143254200,121136800
2023-03-17,98.94999694824219,25.710668563842773,380.7337341308594,180.1300048828125,100.66000366210938,26.3842928539369,385.0390681236539,186.22000122070312,97.45999908447266,25.65369920620216,379.3279095702222,177.3300018310547,99.79000091552734,25.967525354447133,383.887082101071,184.52000427246094,87300200,848547000,140553400,133197100
2023-03-20,97.70999908447266,25.885570526123047,384.39471435546875,183.25,98.4800033569336,26.009501993763354,384.8145311042811,186.44000244140625,95.69999694824219,25.11599904163823,380.81183715877046,176.35000610351562,98.41000366210938,25.60072945435553,381.5244918058211,178.0800018310547,62388900,432747000,93055800,129684400
2023-03-21,100.61000061035156,26.184406280517578,389.4420166015625,197.5800018310547,100.8499984741211,26.377299570457293,389.93014927939254,198.0,98.0,25.36686302858479,386.19103628299194,188.0399932861328,98.13999938964844,26.165417763488982,387.81164034857824,188.27999877929688,58597300,547408000,91524200,153391400
2023-03-22,98.69999694824219,26.4532527923584,382.8034362792969,191.14999389648438,102.0999984741211,27.573628475745913,392.9370765490643,200.66000366210938,98.61000061035156,26.22238060273508,382.76440711193425,190.9499969482422,100.44999694824219,26.410275577117357,389.2663386687201,199.3000030517578,57475400,797295000,111746600,150376400
